gameId;tempoPartidaMin;gameMode;gameVersion;teamId;win;firstBlood;firstTower;firstInhibitor;firstBaron;firstDragon;firstRiftHerald;towerKills;inhibitorKillsTeam;baronKills;dragonKills;vilemawKills;riftHeraldKills
1110268811.0;23.0;CLASSIC;7.11.189.942;200.0;Fail;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;0.0;0.0;0.0;0.0;0.0;0.0
1110268210.0;34.0;CLASSIC;7.11.189.942;100.0;Win;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;9.0;1.0;1.0;3.0;0.0;0.0
1110268210.0;34.0;CLASSIC;7.11.189.942;200.0;Fail;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;2.0;0.0;1.0;0.0;0.0;0.0
1110267409.0;34.0;CLASSIC;7.11.189.942;100.0;Fail;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;4.0;0.0;0.0;2.0;0.0;0.0
1110267409.0;34.0;CLASSIC;7.11.189.942;200.0;Win;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;11.0;2.0;2.0;2.0;0.0;0.0
1110266369.0;31.0;CLASSIC;7.11.189.942;100.0;Fail;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;3.0;0.0;1.0;2.0;0.0;1.0
1110266369.0;31.0;CLASSIC;7.11.189.942;200.0;Win;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;10.0;2.0;0.0;2.0;0.0;0.0
1110282221.0;32.0;CLASSIC;7.11.189.942;100.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;5.0;0.0;0.0;0.0;0.0;0.0
1110282221.0;32.0;CLASSIC;7.11.189.942;200.0;Win;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;8.0;1.0;1.0;3.0;0.0;1.0
1110261353.0;28.0;CLASSIC;7.11.189.942;100.0;Win;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;9.0;1.0;1.0;3.0;0.0;0.0
1110261353.0;28.0;CLASSIC;7.11.189.942;200.0;Fail;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;3.0;0.0;0.0;0.0;0.0;1.0
1110247279.0;32.0;CLASSIC;7.11.189.942;100.0;Fail;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;4.0;0.0;0.0;0.0;0.0;0.0
